ingredient_a,ingredient_b,rating,timestamp
apple,chocolate,4,2026-03-15T18:19:44.996524+00:00
apple,chocolate,4,2026-03-15T18:21:50.196621+00:00
apple,chocolate,4,2026-03-15T18:22:21.105616+00:00
apple,chocolate,4,2026-03-15T18:24:00.136301+00:00
apple,chocolate,4,2026-03-15T18:25:47.358924+00:00
apple,chocolate,4,2026-03-15T18:29:48.680909+00:00
apple,chocolate,4,2026-03-15T19:37:21.317450+00:00
apple,chocolate,4,2026-03-15T19:38:32.088703+00:00
apple,chocolate,4,2026-03-15T19:48:08.694142+00:00
apple,chocolate,4,2026-03-15T19:48:47.714676+00:00
